"","state_county_fips","for.measures","STATE","County.name","Division","X1993","X1993.1","January..1941.70","January..1941.70.1","July..1941.70","July..1941.70.1","topography.code","Water.area","Water.area...100","JAN.TEMP...Z","JAN.SUN...Z","JUL.TEMP...Z","JUL.HUM...Z","TOPOG...Z","LN.WATER..AREA...Z","Scale","X.1.Low..7.High"
"17",1033,1033,"AL","COLBERT",6,3,2,41.3,130,80.1,65,14,4.66,6.145,0.69815,-0.64758,-0.41547,-0.61656,0.77701,0.90165,0.7,4
"18",1035,1035,"AL","CONECUH",6,7,8,48.4,152,80.5,69,4,0.2,2.999,1.2855,0.01482,0.08851,-0.89039,-0.73966,-0.76377,-1,3
"19",1037,1037,"AL","COOSA",6,8,6,44.2,149,79.2,67,15,2.09,5.342,0.93805,-0.07551,0.0763,-0.75347,0.92868,0.47658,1.59,4
"20",1039,1039,"AL","COVINGTON",6,7,8,49.2,152,80.8,69,4,0.88,4.481,1.35168,0.01482,0.07675,-0.89039,-0.73966,0.02092,-0.17,3
"21",1041,1041,"AL","CRENSHAW",6,6,6,48.5,152,80.3,69,4,0.21,3.05,1.29377,0.01482,0.15089,-0.89039,-0.73966,-0.73652,-0.91,3
"22",1043,1043,"AL","CULLMAN",6,6,5,40.9,130,78.3,66,14,2.17,5.38,0.66505,-0.64758,0.03406,-0.68502,0.77701,0.49675,0.64,4
"23",1045,1045,"AL","DALE",6,3,2,50.5,152,80.5,69,4,0.28,3.348,1.45922,0.01482,0.26938,-0.89039,-0.73966,-0.57903,-0.47,3
"24",1047,1047,"AL","DALLAS",6,4,5,49.1,149,81.7,67,4,1.27,4.848,1.3434,-0.07551,-0.17386,-0.75347,-0.73966,0.215,-0.18,3
"25",1049,1049,"AL","DE KALB",6,6,5,39.6,130,76.8,66,9,0.09,2.238,0.55751,-0.64758,0.32541,-0.68502,0.01867,-1.16637,-1.6,3
"26",1051,1051,"AL","ELMORE",6,2,2,46,149,79.7,67,14,5.43,6.297,1.08696,-0.07551,0.0969,-0.75347,0.77701,0.98215,2.11,4
"27",1053,1053,"AL","ESCAMBIA",6,6,6,50.5,152,80.3,69,4,0.58,4.068,1.45922,0.01482,0.32316,-0.89039,-0.73966,-0.19763,-0.03,3
"28",1055,1055,"AL","ETOWAH",6,3,2,42.8,130,79.2,66,15,2.55,5.54,0.82223,-0.64758,-0.04428,-0.68502,0.92868,0.58125,0.96,4
"29",1057,1057,"AL","FAYETTE",6,6,6,43.7,130,79.6,66,14,0.25,3.217,0.89669,-0.64758,-0.07432,-0.68502,0.77701,-0.64831,-0.38,3
"30",1059,1059,"AL","FRANKLIN",6,6,6,41.3,130,80.1,65,14,1.68,5.125,0.69815,-0.64758,-0.41547,-0.61656,0.77701,0.36168,0.16,4
"31",1061,1061,"AL","GENEVA",6,6,6,49.8,152,81.1,69,4,0.45,3.797,1.40131,0.01482,0.04776,-0.89039,-0.73966,-0.34118,-0.51,3
"32",1063,1063,"AL","GREENE",6,8,6,47.4,149,81.1,67,4,2.13,5.359,1.20277,-0.07551,-0.15895,-0.75347,-0.73966,0.48587,-0.04,3
"33",1065,1065,"AL","HALE",6,6,6,47.4,149,81.1,67,14,1.94,5.268,1.20277,-0.07551,-0.15895,-0.75347,0.77701,0.43761,1.43,4
"34",1067,1067,"AL","HENRY",6,6,6,50.6,152,81.3,69,4,1.13,4.727,1.46749,0.01482,0.06289,-0.89039,-0.73966,0.15115,0.07,4
"35",1069,1069,"AL","HOUSTON",6,3,2,50.6,152,81.3,69,4,0.22,3.107,1.46749,0.01482,0.06289,-0.89039,-0.73966,-0.70651,-0.79,3
"36",1071,1071,"AL","JACKSON",6,6,5,41.1,130,78.6,66,16,4.26,6.055,0.6816,-0.64758,-0.02938,-0.68502,1.08035,0.85402,1.25,4
"37",1073,1073,"AL","JEFFERSON",6,2,2,44.2,130,79.9,66,15,1,4.602,0.93805,-0.64758,-0.11192,-0.68502,0.92868,0.08485,0.51,4
"38",1075,1075,"AL","LAMAR",6,9,9,43.7,130,79.6,66,14,0.1,2.326,0.89669,-0.64758,-0.07432,-0.68502,0.77701,-1.11966,-0.85,3
"39",1077,1077,"AL","LAUDERDALE",6,3,2,41.3,130,80.1,65,14,6.86,6.531,0.69815,-0.64758,-0.41547,-0.61656,0.77701,1.10611,0.9,4
"40",1079,1079,"AL","LAWRENCE",6,3,2,41.3,130,80.1,65,14,3.44,5.84,0.69815,-0.64758,-0.41547,-0.61656,0.77701,0.74015,0.54,4
"41",1081,1081,"AL","LEE",6,4,5,46,149,79.7,67,4,1.11,4.708,1.08696,-0.07551,0.0969,-0.75347,-0.73966,0.14089,-0.24,3
"42",1083,1083,"AL","LIMESTONE",6,2,2,41.2,130,79.2,65,4,6.43,6.466,0.68987,-0.64758,-0.18209,-0.61656,-0.73966,1.07166,-0.42,3
"43",1085,1085,"AL","LOWNDES",6,8,6,47.5,149,81,67,4,0.98,4.583,1.21104,-0.07551,-0.12345,-0.75347,-0.73966,0.0748,-0.41,3
"44",1087,1087,"AL","MACON",6,6,5,47.8,149,80.2,67,4,0.44,3.792,1.23586,-0.07551,0.11749,-0.75347,-0.73966,-0.3437,-0.56,3
"45",1089,1089,"AL","MADISON",6,2,2,40.9,130,79.5,65,6,0.98,4.58,0.66505,-0.64758,-0.2886,-0.61656,-0.43633,0.07356,-1.25,3
"46",1091,1091,"AL","MARENGO",6,7,8,47.4,149,81.1,67,4,0.59,4.078,1.20277,-0.07551,-0.15895,-0.75347,-0.73966,-0.19255,-0.72,3
"47",1093,1093,"AL","MARION",6,7,8,41.4,130,78.2,66,14,0.29,3.369,0.70642,-0.64758,0.10401,-0.68502,0.77701,-0.56772,-0.31,3
"48",1095,1095,"AL","MARSHALL",6,4,5,40.9,130,77.6,66,6,9,6.803,0.66505,-0.64758,0.22228,-0.68502,-0.43633,1.24995,0.37,4
"49",1097,1097,"AL","MOBILE",6,2,2,51.2,152,81.6,72,4,24.98,7.823,1.51713,0.01482,0.0339,-1.09576,-0.73966,1.79023,1.52,4
"50",1099,1099,"AL","MONROE",6,7,8,48.4,152,80.5,69,14,0.84,4.426,1.2855,0.01482,0.08851,-0.89039,0.77701,-0.00811,1.27,4
"51",1101,1101,"AL","MONTGOMERY",6,2,2,47.5,149,81,67,4,1.24,4.823,1.21104,-0.07551,-0.12345,-0.75347,-0.73966,0.20173,-0.28,3
"52",1103,1103,"AL","MORGAN",6,3,2,41.2,149,79.2,67,14,2.81,5.639,0.68987,-0.07551,-0.18209,-0.75347,0.77701,0.63376,1.09,4
"53",1105,1105,"AL","PERRY",6,7,8,47.4,149,81.1,67,14,0.63,4.149,1.20277,-0.07551,-0.15895,-0.75347,0.77701,-0.15466,0.84,4
"54",1107,1107,"AL","PICKENS",6,6,6,45,130,81.2,66,14,0.97,4.575,1.00423,-0.64758,-0.39255,-0.68502,0.77701,0.07092,0.13,4
"55",1109,1109,"AL","PIKE",6,6,5,49.1,152,80.2,69,4,0.16,2.758,1.3434,0.01482,0.22946,-0.89039,-0.73966,-0.89104,-0.93,3
"56",1111,1111,"AL","RANDOLPH",6,7,8,44.2,149,79.2,67,14,0.52,3.959,0.93805,-0.07551,0.0763,-0.75347,0.77701,-0.25558,0.71,4
"57",1113,1113,"AL","RUSSELL",6,2,2,48.8,152,81,69,4,0.97,4.578,1.31859,0.01482,-0.01148,-0.89039,-0.73966,0.07222,-0.24,3
"58",1115,1115,"AL","ST. CLAIR",6,2,2,45,130,79.3,66,15,3.01,5.707,1.00423,-0.64758,0.11832,-0.68502,0.92868,0.66984,1.39,4
"59",1117,1117,"AL","SHELBY",6,2,2,45,130,79.3,66,15,1.81,5.2,1.00423,-0.64758,0.11832,-0.68502,0.92868,0.40169,1.12,4
"60",1119,1119,"AL","SUMTER",6,7,8,47.4,149,81.1,67,4,0.92,4.518,1.20277,-0.07551,-0.15895,-0.75347,-0.73966,0.04047,-0.48,3
"61",1121,1121,"AL","TALLADEGA",6,4,5,45,130,79.3,66,15,2.73,5.608,1.00423,-0.64758,0.11832,-0.68502,0.92868,0.61735,1.34,4
"62",1123,1123,"AL","TALLAPOOSA",6,6,5,46,149,79.7,67,14,6.3,6.445,1.08696,-0.07551,0.0969,-0.75347,0.77701,1.06077,2.19,4
"63",1125,1125,"AL","TUSCALOOSA",6,3,2,45,130,81.2,66,14,1.98,5.288,1.00423,-0.64758,-0.39255,-0.68502,0.77701,0.44806,0.5,4
"64",1127,1127,"AL","WALKER",6,6,5,43.7,130,79.6,66,14,1.35,4.909,0.89669,-0.64758,-0.07432,-0.68502,0.77701,0.24736,0.51,4
"65",1129,1129,"AL","WASHINGTON",6,8,6,47.4,152,80.5,69,4,0.72,4.283,1.20277,0.01482,0.00238,-0.89039,-0.73966,-0.08372,-0.49,3
"66",1131,1131,"AL","WILCOX",6,9,9,47.4,152,80.5,69,14,2.07,5.332,1.20277,0.01482,0.00238,-0.89039,0.77701,0.47162,1.58,4
"67",1133,1133,"AL","WINSTON",6,6,6,41.4,130,78.2,66,14,2.76,5.619,0.70642,-0.64758,0.10401,-0.68502,0.77701,0.62346,0.88,4
"68",4001,4001,"AZ","APACHE",8,5,8,27.5,230,70.6,26,6,0.12,2.487,-0.44347,2.36332,0.95028,2.05327,-0.43633,-1.03461,3.45,5
"69",4003,4003,"AZ","COCHISE",8,4,5,47.6,260,79.5,28,12,0.79,4.373,1.21932,3.26659,0.28848,1.91635,0.47368,-0.03609,7.13,7
"70",4005,4005,"AZ","COCONINO",8,5,7,30.5,230,69.4,26,8,0.23,3.147,-0.19529,2.36332,1.53133,2.05327,-0.13299,-0.68508,4.93,6
"71",4007,4007,"AZ","GILA",8,4,4,42.6,248,77.9,20,17,0.58,4.068,0.80569,2.90528,0.28803,2.46401,1.23201,-0.19765,7.5,7
"72",4009,4009,"AZ","GRAHAM",8,7,8,44.9,260,85,28,16,0.25,3.238,0.99596,3.26659,-1.42291,1.91635,1.08035,-0.63692,5.2,6
"73",4011,4011,"AZ","GREENLEE",8,7,8,46.3,260,86.4,28,21,0.08,2.039,1.11177,3.26659,-1.67876,1.91635,1.83868,-1.27179,5.18,6
"74",4012,4027,"AZ","LA PAZ",8,7,8,55.4,266,93.7,23,11,0.19,2.94,1.86458,3.44725,-2.85779,2.25864,0.32201,-2.35103,4.24,5
"75",4013,4013,"AZ","MARICOPA",8,0,1,51.2,248,91.2,20,17,0.23,3.116,1.51713,2.90528,-2.54734,2.46401,1.23201,-0.70154,4.87,6
"76",4015,4015,"AZ","MOHAVE",8,2,2,36.4,230,73.9,31,12,1.17,4.765,0.29279,2.36332,0.82954,1.71098,0.47368,0.17138,5.84,6
"77",4017,4017,"AZ","NAVAJO",8,5,8,32.6,230,78.3,26,6,0.06,1.863,-0.02157,2.36332,-0.68083,2.05327,-0.43633,-1.36465,1.91,4
"78",4019,4019,"AZ","PIMA",8,2,2,51.1,260,86.5,28,12,0.03,0.972,1.50886,3.26659,-1.29222,1.91635,0.47368,-1.83629,4.04,5
"79",4021,4021,"AZ","PINAL",8,1,1,50.6,248,91.1,20,11,0.08,2.125,1.46749,2.90528,-2.57213,2.46401,0.32201,-1.22618,3.36,5
"80",4023,4023,"AZ","SANTA CRUZ",8,6,5,41.4,260,74,28,12,0.04,1.334,0.70642,3.26659,1.23331,1.91635,0.47368,-1.64495,5.95,6
"81",4025,4025,"AZ","YAVAPAI",8,4,3,35.8,230,72.8,31,17,0.06,1.774,0.24315,2.36332,1.07363,1.71098,1.23201,-1.4121,5.21,6
"82",4027,4027,"AZ","YUMA",8,3,2,55.4,266,93.7,23,11,0.19,2.94,1.86458,3.44725,-2.85779,2.25864,0.32201,-0.79472,4.24,5
"83",5001,5001,"AR","ARKANSAS",7,7,7,40.3,146,80.9,60,1,4.38,6.083,0.61542,-0.16583,-0.71671,-0.27427,-1.19466,0.86897,-0.87,3
"84",5003,5003,"AR","ASHLEY",7,7,8,45.4,140,81.2,66,1,1.9,5.245,1.03732,-0.34649,-0.3581,-0.68502,-1.19466,0.42513,-1.12,3
"85",5005,5005,"AR","BAXTER",7,7,8,36.8,150,79,51,19,5.52,6.313,0.32588,-0.0454,-0.50729,0.34184,1.53535,0.99066,2.64,5
"86",5007,5007,"AR","BENTON",7,3,2,37.3,150,78,57,19,3.82,5.946,0.36724,-0.0454,-0.19535,-0.0689,1.53535,0.79637,2.39,5
"87",5009,5009,"AR","BOONE",7,7,8,37.2,150,78.5,57,20,1.77,5.175,0.35897,-0.0454,-0.3384,-0.0689,1.68702,0.38827,1.98,4
"88",5011,5011,"AR","BRADLEY",7,7,8,44.5,153,82.2,62,4,0.57,4.048,0.96287,0.04493,-0.7045,-0.41119,-0.73966,-0.20808,-1.06,3
"89",5013,5013,"AR","CALHOUN",7,9,9,44.3,153,81.8,62,1,0.67,4.21,0.94632,0.04493,-0.61417,-0.41119,-1.19466,-0.12262,-1.35,3
"90",5015,5015,"AR","CARROLL",7,7,8,37.6,150,78.5,57,19,1.33,4.89,0.39206,-0.0454,-0.30395,-0.0689,1.53535,0.23745,1.75,4
"91",5017,5017,"AR","CHICOT",7,7,8,45.4,140,81.2,66,1,6.78,6.519,1.03732,-0.34649,-0.3581,-0.68502,-1.19466,1.09999,-0.45,3
"92",5019,5019,"AR","CLARK",7,7,7,42.9,153,81.6,62,15,1.95,5.271,0.83051,0.04493,-0.68098,-0.41119,0.92868,0.43888,1.15,4
"93",5021,5021,"AR","CLAY",7,7,8,37.7,141,80.4,61,4,0.33,3.498,0.40033,-0.31638,-0.80621,-0.34273,-0.73966,-0.4994,-2.3,2
"94",5023,5023,"AR","CLEBURNE",7,6,6,37.3,150,78.5,51,14,6.56,6.487,0.36724,-0.0454,-0.32979,0.34184,0.77701,1.08274,2.19,4
"95",5025,5025,"AR","CLEVELAND",7,8,6,44.3,153,81.8,62,4,0.18,2.902,0.94632,0.04493,-0.61417,-0.41119,-0.73966,-0.81513,-1.59,3
"96",5027,5027,"AR","COLUMBIA",7,7,7,45.7,153,81.6,62,4,0.1,2.28,1.06214,0.04493,-0.43981,-0.41119,-0.73966,-1.144,-1.63,3
"97",5029,5029,"AR","CONWAY",7,6,6,40.7,143,81.7,61,9,1.85,5.221,0.64851,-0.25616,-0.89736,-0.34273,0.01867,0.41261,-0.42,3
"98",5031,5031,"AR","CRAIGHEAD",7,5,7,39.5,141,81.2,61,4,0.31,3.443,0.54924,-0.31638,-0.86627,-0.34273,-0.73966,-0.52861,-2.24,2
"99",5033,5033,"AR","CRAWFORD",7,3,2,39,150,82.2,51,19,1.45,4.974,0.50788,-0.0454,-1.17822,0.34184,1.53535,0.28206,1.44,4
"100",5035,5035,"AR","CRITTENDEN",7,1,1,40.5,146,81.6,60,1,4.12,6.021,0.63196,-0.16583,-0.88769,-0.27427,-1.19466,0.83628,-1.05,3
"101",5037,5037,"AR","CROSS",7,6,4,40.8,146,80.4,60,4,1.04,4.646,0.65678,-0.16583,-0.5392,-0.27427,-0.73966,0.10803,-0.95,3
"102",5039,5039,"AR","DALLAS",7,7,8,44.3,153,81.8,62,4,0.11,2.405,0.94632,0.04493,-0.61417,-0.41119,-0.73966,-1.07816,-1.85,3
"103",5041,5041,"AR","DESHA",7,7,8,43.7,140,82.3,66,1,6.65,6.5,0.89669,-0.34649,-0.80029,-0.68502,-1.19466,1.08985,-1.04,3
"104",5043,5043,"AR","DREW",7,7,8,43.9,140,80.9,66,4,0.89,4.493,0.91323,-0.34649,-0.40663,-0.68502,-0.73966,0.02727,-1.24,3
"105",5045,5045,"AR","FAULKNER",7,2,2,41.4,143,81.5,61,9,2.51,5.527,0.70642,-0.25616,-0.78329,-0.34273,0.01867,0.57453,-0.08,3
"106",5047,5047,"AR","FRANKLIN",7,6,6,40.2,150,81.5,51,20,1.63,5.097,0.60715,-0.0454,-0.88665,0.34184,1.68702,0.34679,2.05,4
"107",5049,5049,"AR","FULTON",7,9,8,36.6,150,78.5,51,14,0.34,3.536,0.30933,-0.0454,-0.39008,0.34184,0.77701,-0.47919,0.51,4
"108",5051,5051,"AR","GARLAND",7,4,5,43.1,143,82.3,61,16,7.7,6.646,0.84705,-0.25616,-0.85197,-0.34273,1.08035,1.16713,1.64,4
"109",5053,5053,"AR","GRANT",7,6,6,42.5,143,80.6,61,4,0.19,2.967,0.79742,-0.25616,-0.44655,-0.34273,-0.73966,-0.78059,-1.77,3
"110",5055,5055,"AR","GREENE",7,7,7,38.5,141,80,61,4,0.37,3.609,0.46651,-0.31638,-0.62975,-0.34273,-0.73966,-0.44082,-2,3
"111",5057,5057,"AR","HEMPSTEAD",7,6,6,42.2,153,81.4,62,4,1.7,5.133,0.7726,0.04493,-0.6875,-0.41119,-0.73966,0.36612,-0.65,3
"112",5059,5059,"AR","HOT SPRING",7,6,6,43.1,143,82.3,61,15,1.16,4.755,0.84705,-0.25616,-0.85197,-0.34273,0.92868,0.16615,0.49,4
"113",5061,5061,"AR","HOWARD",7,7,8,41.9,153,80.8,62,15,1.31,4.872,0.74778,0.04493,-0.55201,-0.41119,0.92868,0.22773,0.99,4
"114",5063,5063,"AR","INDEPENDENCE",7,7,8,37.5,141,79.2,61,14,1.01,4.615,0.38379,-0.31638,-0.50078,-0.34273,0.77701,0.0917,0.09,4
"115",5065,5065,"AR","IZARD",7,9,9,36.8,150,79,51,19,0.57,4.04,0.32588,-0.0454,-0.50729,0.34184,1.53535,-0.21234,1.44,4
"116",5067,5067,"AR","JACKSON",7,7,8,40.2,141,81.2,61,1,1.23,4.816,0.60715,-0.31638,-0.80598,-0.34273,-1.19466,0.19823,-1.85,3
"117",5069,5069,"AR","JEFFERSON",7,3,2,44.2,140,83,66,4,3.17,5.759,0.93805,-0.34649,-0.94544,-0.68502,-0.73966,0.69728,-1.08,3
"118",5071,5071,"AR","JOHNSON",7,7,8,40.5,150,81.7,51,20,3.01,5.708,0.63196,-0.0454,-0.91458,0.34184,1.68702,0.67045,2.37,5
"119",5073,5073,"AR","LAFAYETTE",7,8,6,42.2,153,81.4,62,2,3.41,5.831,0.7726,0.04493,-0.6875,-0.41119,-1.043,0.7355,-0.59,3
"120",5075,5075,"AR","LAWRENCE",7,7,8,37.9,141,80.1,61,14,0.98,4.581,0.41688,-0.31638,-0.70832,-0.34273,0.77701,0.07366,-0.1,3
"121",5077,5077,"AR","LEE",7,6,4,40.8,146,80.4,60,4,2.87,5.661,0.65678,-0.16583,-0.5392,-0.27427,-0.73966,0.64537,-0.42,3
"122",5079,5079,"AR","LINCOLN",7,8,6,43.7,140,82.3,66,4,1.92,5.256,0.89669,-0.34649,-0.80029,-0.68502,-0.73966,0.43118,-1.24,3
"123",5081,5081,"AR","LITTLE RIVER",7,6,6,45.2,153,82.4,62,2,5.87,6.374,1.02078,0.04493,-0.69798,-0.41119,-1.043,1.02322,-0.06,3
"124",5083,5083,"AR","LOGAN",7,6,6,40.5,150,81.7,51,16,2.96,5.689,0.63196,-0.0454,-0.91458,0.34184,1.08035,0.66052,1.75,4
"125",5085,5085,"AR","LONOKE",7,2,2,42.8,146,82.3,60,1,4.61,6.133,0.82223,-0.16583,-0.87781,-0.27427,-1.19466,0.89542,-0.79,3
"126",5087,5087,"AR","MADISON",7,8,6,37.1,150,78.6,57,20,0.02,0.708,0.3507,-0.0454,-0.3739,-0.0689,1.68702,-1.97604,-0.43,3
"127",5089,5089,"AR","MARION",7,9,9,36.8,150,79,51,19,6.66,6.501,0.32588,-0.0454,-0.50729,0.34184,1.53535,1.09038,2.74,5
"128",5091,5091,"AR","MILLER",7,3,2,45.2,153,82.4,62,4,2.11,5.352,1.02078,0.04493,-0.69798,-0.41119,-0.73966,0.48185,-0.3,3
"129",5093,5093,"AR","MISSISSIPPI",7,4,3,38.9,141,81.3,61,1,2.34,5.453,0.4996,-0.31638,-0.94484,-0.34273,-1.19466,0.53563,-1.76,3
"130",5095,5095,"AR","MONROE",7,7,8,40.8,146,81,60,1,2.37,5.469,0.65678,-0.16583,-0.70053,-0.27427,-1.19466,0.54385,-1.13,3
"131",5097,5097,"AR","MONTGOMERY",7,9,9,40.5,153,79.9,62,15,2.42,5.489,0.63196,0.04493,-0.4306,-0.41119,0.92868,0.55454,1.32,4
"132",5099,5099,"AR","NEVADA",7,7,8,43.3,153,82.5,62,4,0.13,2.581,0.8636,0.04493,-0.88852,-0.41119,-0.73966,-0.98489,-2.12,3
"133",5101,5101,"AR","NEWTON",7,9,9,37.2,150,78.5,57,20,0.03,0.936,0.35897,-0.0454,-0.3384,-0.0689,1.68702,-1.85533,-0.26,3
"134",5103,5103,"AR","OUACHITA",7,7,7,43.7,153,82.1,62,4,0.97,4.575,0.89669,0.04493,-0.74652,-0.41119,-0.73966,0.07091,-0.88,3
"135",5105,5105,"AR","PERRY",7,8,6,41,143,80.8,61,16,1.7,5.138,0.67333,-0.25616,-0.62953,-0.34273,1.08035,0.36874,0.89,4
"136",5107,5107,"AR","PHILLIPS",7,7,8,41.6,146,81.2,60,1,4.76,6.165,0.72296,-0.16583,-0.6854,-0.27427,-1.19466,0.91256,-0.68,3
"137",5109,5109,"AR","PIKE",7,9,9,40.5,153,79.9,62,15,1.77,5.176,0.63196,0.04493,-0.4306,-0.41119,0.92868,0.38908,1.15,4
"138",5111,5111,"AR","POINSETT",7,6,4,38.6,141,80.7,61,1,0.74,4.304,0.47479,-0.31638,-0.80935,-0.34273,-1.19466,-0.07266,-2.26,2
"139",5113,5113,"AR","POLK",7,7,8,41.2,150,79.9,51,15,0.35,3.556,0.68987,-0.0454,-0.37031,0.34184,0.92868,-0.4688,1.08,4
"140",5115,5115,"AR","POPE",7,5,7,40.6,150,81.5,51,20,2.27,5.427,0.64024,-0.0454,-0.85219,0.34184,1.68702,0.52146,2.29,4
"141",5117,5117,"AR","PRAIRIE",7,8,6,41.1,146,81.4,60,1,4.41,6.089,0.6816,-0.16583,-0.78224,-0.27427,-1.19466,0.87227,-0.86,3
"142",5119,5119,"AR","PULASKI",7,2,2,39.5,143,81.4,61,15,4.57,6.126,0.54924,-0.25616,-0.92005,-0.34273,0.92868,0.89157,0.85,4
"143",5121,5121,"AR","RANDOLPH",7,7,8,37.9,141,80.1,61,14,0.64,4.162,0.41688,-0.31638,-0.70832,-0.34273,0.77701,-0.14817,-0.32,3
"144",5123,5123,"AR","ST. FRANCIS",7,6,3,40.8,146,80.4,60,1,1.33,4.892,0.65678,-0.16583,-0.5392,-0.27427,-1.19466,0.23859,-1.28,3
"145",5125,5125,"AR","SALINE",7,2,2,40.5,143,79.9,61,15,0.79,4.364,0.63196,-0.25616,-0.4306,-0.34273,0.92868,-0.04095,0.49,4
"146",5127,5127,"AR","SCOTT",7,6,6,40.8,150,81,51,16,0.47,3.847,0.65678,-0.0454,-0.70053,0.34184,1.08035,-0.31441,1.02,4
"147",5129,5129,"AR","SEARCY",7,9,9,37.3,150,78.5,51,20,0.2,3.013,0.36724,-0.0454,-0.32979,0.34184,1.68702,-0.75628,1.26,4
"148",5131,5131,"AR","SEBASTIAN",7,3,2,39,150,82.2,51,16,1.78,5.18,0.50788,-0.0454,-1.17822,0.34184,1.08035,0.39081,1.1,4
"149",5133,5133,"AR","SEVIER",7,7,8,42.9,153,81,62,4,2.99,5.702,0.83051,0.04493,-0.51965,-0.41119,-0.73966,0.66726,-0.13,3
"150",5135,5135,"AR","SHARP",7,7,8,36.6,150,78.5,51,14,0.33,3.491,0.30933,-0.0454,-0.39008,0.34184,0.77701,-0.50313,0.49,4
"151",5137,5137,"AR","STONE",7,9,9,37.3,150,78.5,51,19,0.47,3.842,0.36724,-0.0454,-0.32979,0.34184,1.53535,-0.31754,1.55,4
"152",5139,5139,"AR","UNION",7,5,7,44.5,153,82.1,62,4,1.55,5.044,0.96287,0.04493,-0.67761,-0.41119,-0.73966,0.31905,-0.5,3
"153",5141,5141,"AR","VAN BUREN",7,8,6,37.3,150,78.5,51,20,1.77,5.174,0.36724,-0.0454,-0.32979,0.34184,1.68702,0.38804,2.41,5
"154",5143,5143,"AR","WASHINGTON",7,3,2,37.1,150,78.6,57,19,0.61,4.111,0.3507,-0.0454,-0.3739,-0.0689,1.53535,-0.17516,1.22,4
"155",5145,5145,"AR","WHITE",7,4,5,40.7,141,81.4,61,9,0.79,4.375,0.64851,-0.31638,-0.81669,-0.34273,0.01867,-0.03523,-0.84,3
"156",5147,5147,"AR","WOODRUFF",7,7,8,40.8,146,81,60,1,1.26,4.837,0.65678,-0.16583,-0.70053,-0.27427,-1.19466,0.20933,-1.47,3
"157",5149,5149,"AR","YELL",7,7,8,40.8,150,81.8,51,16,2.21,5.4,0.65678,-0.0454,-0.91563,0.34184,1.08035,0.50718,1.63,4
