"","V1","V2","V3","V4","V5"
"135","AR",5,47,"Franklin County","H1"
"136","AR",5,49,"Fulton County","H1"
"137","AR",5,51,"Garland County","H1"
"138","AR",5,53,"Grant County","H1"
"139","AR",5,55,"Greene County","H1"
"140","AR",5,57,"Hempstead County","H1"
"141","AR",5,59,"Hot Spring County","H1"
"142","AR",5,61,"Howard County","H1"
"143","AR",5,63,"Independence County","H1"
"144","AR",5,65,"Izard County","H1"
"145","AR",5,67,"Jackson County","H1"
"146","AR",5,69,"Jefferson County","H1"
"147","AR",5,71,"Johnson County","H1"
"148","AR",5,73,"Lafayette County","H1"
"149","AR",5,75,"Lawrence County","H1"
"150","AR",5,77,"Lee County","H1"
"151","AR",5,79,"Lincoln County","H1"
"152","AR",5,81,"Little River County","H1"
"153","AR",5,83,"Logan County","H1"
"154","AR",5,85,"Lonoke County","H1"
"155","AR",5,87,"Madison County","H1"
"156","AR",5,89,"Marion County","H1"
"157","AR",5,91,"Miller County","H1"
"158","AR",5,93,"Mississippi County","H1"
"159","AR",5,95,"Monroe County","H1"
"160","AR",5,97,"Montgomery County","H1"
"161","AR",5,99,"Nevada County","H1"
"162","AR",5,101,"Newton County","H1"
"163","AR",5,103,"Ouachita County","H1"
"164","AR",5,105,"Perry County","H1"
"165","AR",5,107,"Phillips County","H1"
"166","AR",5,109,"Pike County","H1"
"167","AR",5,111,"Poinsett County","H1"
"168","AR",5,113,"Polk County","H1"
"169","AR",5,115,"Pope County","H1"
"170","AR",5,117,"Prairie County","H1"
"171","AR",5,119,"Pulaski County","H1"
"172","AR",5,121,"Randolph County","H1"
"173","AR",5,123,"St. Francis County","H1"
"174","AR",5,125,"Saline County","H1"
"175","AR",5,127,"Scott County","H1"
"176","AR",5,129,"Searcy County","H1"
"177","AR",5,131,"Sebastian County","H1"
"178","AR",5,133,"Sevier County","H1"
"179","AR",5,135,"Sharp County","H1"
"180","AR",5,137,"Stone County","H1"
"181","AR",5,139,"Union County","H1"
"182","AR",5,141,"Van Buren County","H1"
"183","AR",5,143,"Washington County","H1"
"184","AR",5,145,"White County","H1"
"185","AR",5,147,"Woodruff County","H1"
"186","AR",5,149,"Yell County","H1"
"187","CA",6,1,"Alameda County","H1"
"188","CA",6,3,"Alpine County","H1"
"189","CA",6,5,"Amador County","H1"
"190","CA",6,7,"Butte County","H1"
"191","CA",6,9,"Calaveras County","H1"
"192","CA",6,11,"Colusa County","H1"
"193","CA",6,13,"Contra Costa County","H1"
"194","CA",6,15,"Del Norte County","H1"
"195","CA",6,17,"El Dorado County","H1"
"196","CA",6,19,"Fresno County","H1"
"197","CA",6,21,"Glenn County","H1"
"198","CA",6,23,"Humboldt County","H1"
"199","CA",6,25,"Imperial County","H1"
"200","CA",6,27,"Inyo County","H1"
"201","CA",6,29,"Kern County","H1"
"202","CA",6,31,"Kings County","H1"
"203","CA",6,33,"Lake County","H1"
"204","CA",6,35,"Lassen County","H1"
"205","CA",6,37,"Los Angeles County","H1"
"206","CA",6,39,"Madera County","H1"
"207","CA",6,41,"Marin County","H1"
"208","CA",6,43,"Mariposa County","H1"
"209","CA",6,45,"Mendocino County","H1"
"210","CA",6,47,"Merced County","H1"
"211","CA",6,49,"Modoc County","H1"
"212","CA",6,51,"Mono County","H1"
"213","CA",6,53,"Monterey County","H1"
"214","CA",6,55,"Napa County","H1"
"215","CA",6,57,"Nevada County","H1"
"216","CA",6,59,"Orange County","H1"
"217","CA",6,61,"Placer County","H1"
"218","CA",6,63,"Plumas County","H1"
"219","CA",6,65,"Riverside County","H1"
"220","CA",6,67,"Sacramento County","H1"
"221","CA",6,69,"San Benito County","H1"
"222","CA",6,71,"San Bernardino County","H1"
"223","CA",6,73,"San Diego County","H1"
"224","CA",6,75,"San Francisco County","H6"
"225","CA",6,77,"San Joaquin County","H1"
"226","CA",6,79,"San Luis Obispo County","H1"
"227","CA",6,81,"San Mateo County","H1"
"228","CA",6,83,"Santa Barbara County","H1"
"229","CA",6,85,"Santa Clara County","H1"
"230","CA",6,87,"Santa Cruz County","H1"
"231","CA",6,89,"Shasta County","H1"
"232","CA",6,91,"Sierra County","H1"
"233","CA",6,93,"Siskiyou County","H1"
"234","CA",6,95,"Solano County","H1"
"235","CA",6,97,"Sonoma County","H1"
"236","CA",6,99,"Stanislaus County","H1"
"237","CA",6,101,"Sutter County","H1"
"238","CA",6,103,"Tehama County","H1"
"239","CA",6,105,"Trinity County","H1"
"240","CA",6,107,"Tulare County","H1"
"241","CA",6,109,"Tuolumne County","H1"
"242","CA",6,111,"Ventura County","H1"
"243","CA",6,113,"Yolo County","H1"
"244","CA",6,115,"Yuba County","H1"
"245","CO",8,1,"Adams County","H1"
"246","CO",8,3,"Alamosa County","H1"
"247","CO",8,5,"Arapahoe County","H1"
"248","CO",8,7,"Archuleta County","H1"
"249","CO",8,9,"Baca County","H1"
"250","CO",8,11,"Bent County","H1"
"251","CO",8,13,"Boulder County","H1"
"252","CO",8,14,"Broomfield County","H6"
"253","CO",8,15,"Chaffee County","H1"
"254","CO",8,17,"Cheyenne County","H1"
"255","CO",8,19,"Clear Creek County","H1"
"256","CO",8,21,"Conejos County","H1"
"257","CO",8,23,"Costilla County","H1"
"258","CO",8,25,"Crowley County","H1"
"259","CO",8,27,"Custer County","H1"
"260","CO",8,29,"Delta County","H1"
"261","CO",8,31,"Denver County","H6"
"262","CO",8,33,"Dolores County","H1"
"263","CO",8,35,"Douglas County","H1"
"264","CO",8,37,"Eagle County","H1"
"265","CO",8,39,"Elbert County","H1"
"266","CO",8,41,"El Paso County","H1"
"267","CO",8,43,"Fremont County","H1"
"268","CO",8,45,"Garfield County","H1"
"269","CO",8,47,"Gilpin County","H1"
"270","CO",8,49,"Grand County","H1"
"271","CO",8,51,"Gunnison County","H1"
"272","CO",8,53,"Hinsdale County","H1"
"273","CO",8,55,"Huerfano County","H1"
"274","CO",8,57,"Jackson County","H1"
"275","CO",8,59,"Jefferson County","H1"
"276","CO",8,61,"Kiowa County","H1"
"277","CO",8,63,"Kit Carson County","H1"
"278","CO",8,65,"Lake County","H1"
"279","CO",8,67,"La Plata County","H1"
"280","CO",8,69,"Larimer County","H1"
"281","CO",8,71,"Las Animas County","H1"
"282","CO",8,73,"Lincoln County","H1"
"283","CO",8,75,"Logan County","H1"
"284","CO",8,77,"Mesa County","H1"
"285","CO",8,79,"Mineral County","H1"
"286","CO",8,81,"Moffat County","H1"
"287","CO",8,83,"Montezuma County","H1"
"288","CO",8,85,"Montrose County","H1"
"289","CO",8,87,"Morgan County","H1"
"290","CO",8,89,"Otero County","H1"
"291","CO",8,91,"Ouray County","H1"
"292","CO",8,93,"Park County","H1"
"293","CO",8,95,"Phillips County","H1"
"294","CO",8,97,"Pitkin County","H1"
"295","CO",8,99,"Prowers County","H1"
"296","CO",8,101,"Pueblo County","H1"
"297","CO",8,103,"Rio Blanco County","H1"
"298","CO",8,105,"Rio Grande County","H1"
"299","CO",8,107,"Routt County","H1"
"300","CO",8,109,"Saguache County","H1"
"301","CO",8,111,"San Juan County","H1"
"302","CO",8,113,"San Miguel County","H1"
"303","CO",8,115,"Sedgwick County","H1"
"304","CO",8,117,"Summit County","H1"
"305","CO",8,119,"Teller County","H1"
"306","CO",8,121,"Washington County","H1"
"307","CO",8,123,"Weld County","H1"
"308","CO",8,125,"Yuma County","H1"
"309","CT",9,1,"Fairfield County","H4"
"310","CT",9,3,"Hartford County","H4"
"311","CT",9,5,"Litchfield County","H4"
"312","CT",9,7,"Middlesex County","H4"
"313","CT",9,9,"New Haven County","H4"
"314","CT",9,11,"New London County","H4"
"315","CT",9,13,"Tolland County","H4"
"316","CT",9,15,"Windham County","H4"
"317","DE",10,1,"Kent County","H1"
"318","DE",10,3,"New Castle County","H1"
"319","DE",10,5,"Sussex County","H1"
"320","DC",11,1,"District of Columbia","H6"
"321","FL",12,1,"Alachua County","H1"
"322","FL",12,3,"Baker County","H1"
"323","FL",12,5,"Bay County","H1"
"324","FL",12,7,"Bradford County","H1"
"325","FL",12,9,"Brevard County","H1"
"326","FL",12,11,"Broward County","H1"
"327","FL",12,13,"Calhoun County","H1"
"328","FL",12,15,"Charlotte County","H1"
"329","FL",12,17,"Citrus County","H1"
"330","FL",12,19,"Clay County","H1"
"331","FL",12,21,"Collier County","H1"
"332","FL",12,23,"Columbia County","H1"
"333","FL",12,27,"DeSoto County","H1"
"334","FL",12,29,"Dixie County","H1"
"335","FL",12,31,"Duval County","H6"
"336","FL",12,33,"Escambia County","H1"
"337","FL",12,35,"Flagler County","H1"
"338","FL",12,37,"Franklin County","H1"
"339","FL",12,39,"Gadsden County","H1"
"340","FL",12,41,"Gilchrist County","H1"
"341","FL",12,43,"Glades County","H1"
"342","FL",12,45,"Gulf County","H1"
"343","FL",12,47,"Hamilton County","H1"
"344","FL",12,49,"Hardee County","H1"
"345","FL",12,51,"Hendry County","H1"
"346","FL",12,53,"Hernando County","H1"
"347","FL",12,55,"Highlands County","H1"
"348","FL",12,57,"Hillsborough County","H1"
"349","FL",12,59,"Holmes County","H1"
"350","FL",12,61,"Indian River County","H1"
"351","FL",12,63,"Jackson County","H1"
"352","FL",12,65,"Jefferson County","H1"
"353","FL",12,67,"Lafayette County","H1"
"354","FL",12,69,"Lake County","H1"
"355","FL",12,71,"Lee County","H1"
"356","FL",12,73,"Leon County","H1"
"357","FL",12,75,"Levy County","H1"
"358","FL",12,77,"Liberty County","H1"
"359","FL",12,79,"Madison County","H1"
"360","FL",12,81,"Manatee County","H1"
"361","FL",12,83,"Marion County","H1"
"362","FL",12,85,"Martin County","H1"
"363","FL",12,86,"Miami-Dade County","H1"
"364","FL",12,87,"Monroe County","H1"
"365","FL",12,89,"Nassau County","H1"
"366","FL",12,91,"Okaloosa County","H1"
"367","FL",12,93,"Okeechobee County","H1"
"368","FL",12,95,"Orange County","H1"
"369","FL",12,97,"Osceola County","H1"
"370","FL",12,99,"Palm Beach County","H1"
"371","FL",12,101,"Pasco County","H1"
"372","FL",12,103,"Pinellas County","H1"
"373","FL",12,105,"Polk County","H1"
"374","FL",12,107,"Putnam County","H1"
"375","FL",12,109,"St. Johns County","H1"
"376","FL",12,111,"St. Lucie County","H1"
"377","FL",12,113,"Santa Rosa County","H1"
"378","FL",12,115,"Sarasota County","H1"
"379","FL",12,117,"Seminole County","H1"
"380","FL",12,119,"Sumter County","H1"
"381","FL",12,121,"Suwannee County","H1"
"382","FL",12,123,"Taylor County","H1"
"383","FL",12,125,"Union County","H1"
"384","FL",12,127,"Volusia County","H1"
"385","FL",12,129,"Wakulla County","H1"
"386","FL",12,131,"Walton County","H1"
"387","FL",12,133,"Washington County","H1"
"388","GA",13,1,"Appling County","H1"
"389","GA",13,3,"Atkinson County","H1"
"390","GA",13,5,"Bacon County","H1"
"391","GA",13,7,"Baker County","H1"
"392","GA",13,9,"Baldwin County","H1"
"393","GA",13,11,"Banks County","H1"
"394","GA",13,13,"Barrow County","H1"
"395","GA",13,15,"Bartow County","H1"
"396","GA",13,17,"Ben Hill County","H1"
"397","GA",13,19,"Berrien County","H1"
"398","GA",13,21,"Bibb County","H1"
"399","GA",13,23,"Bleckley County","H1"
"400","GA",13,25,"Brantley County","H1"
"401","GA",13,27,"Brooks County","H1"
"402","GA",13,29,"Bryan County","H1"
"403","GA",13,31,"Bulloch County","H1"
"404","GA",13,33,"Burke County","H1"
"405","GA",13,35,"Butts County","H1"
"406","GA",13,37,"Calhoun County","H1"
"407","GA",13,39,"Camden County","H1"
"408","GA",13,43,"Candler County","H1"
"409","GA",13,45,"Carroll County","H1"
"410","GA",13,47,"Catoosa County","H1"
"411","GA",13,49,"Charlton County","H1"
"412","GA",13,51,"Chatham County","H1"
"413","GA",13,53,"Chattahoochee County","H1"
"414","GA",13,55,"Chattooga County","H1"
"415","GA",13,57,"Cherokee County","H1"
"416","GA",13,59,"Clarke County","H6"
"417","GA",13,61,"Clay County","H1"
"418","GA",13,63,"Clayton County","H1"
"419","GA",13,65,"Clinch County","H1"
"420","GA",13,67,"Cobb County","H1"
"421","GA",13,69,"Coffee County","H1"
"422","GA",13,71,"Colquitt County","H1"
"423","GA",13,73,"Columbia County","H1"
"424","GA",13,75,"Cook County","H1"
"425","GA",13,77,"Coweta County","H1"
"426","GA",13,79,"Crawford County","H1"
"427","GA",13,81,"Crisp County","H1"
"428","GA",13,83,"Dade County","H1"
"429","GA",13,85,"Dawson County","H1"
"430","GA",13,87,"Decatur County","H1"
"431","GA",13,89,"DeKalb County","H1"
"432","GA",13,91,"Dodge County","H1"
"433","GA",13,93,"Dooly County","H1"
"434","GA",13,95,"Dougherty County","H1"
"435","GA",13,97,"Douglas County","H1"
"436","GA",13,99,"Early County","H1"
"437","GA",13,101,"Echols County","H1"
"438","GA",13,103,"Effingham County","H1"
"439","GA",13,105,"Elbert County","H1"
"440","GA",13,107,"Emanuel County","H1"
"441","GA",13,109,"Evans County","H1"
"442","GA",13,111,"Fannin County","H1"
"443","GA",13,113,"Fayette County","H1"
"444","GA",13,115,"Floyd County","H1"
"445","GA",13,117,"Forsyth County","H1"
"446","GA",13,119,"Franklin County","H1"
"447","GA",13,121,"Fulton County","H1"
"448","GA",13,123,"Gilmer County","H1"
"449","GA",13,125,"Glascock County","H1"
"450","GA",13,127,"Glynn County","H1"
"451","GA",13,129,"Gordon County","H1"
"452","GA",13,131,"Grady County","H1"
"453","GA",13,133,"Greene County","H1"
"454","GA",13,135,"Gwinnett County","H1"
"455","GA",13,137,"Habersham County","H1"
"456","GA",13,139,"Hall County","H1"
"457","GA",13,141,"Hancock County","H1"
"458","GA",13,143,"Haralson County","H1"
"459","GA",13,145,"Harris County","H1"
"460","GA",13,147,"Hart County","H1"
"461","GA",13,149,"Heard County","H1"
"462","GA",13,151,"Henry County","H1"
"463","GA",13,153,"Houston County","H1"
"464","GA",13,155,"Irwin County","H1"
"465","GA",13,157,"Jackson County","H1"
"466","GA",13,159,"Jasper County","H1"
"467","GA",13,161,"Jeff Davis County","H1"
"468","GA",13,163,"Jefferson County","H1"
"469","GA",13,165,"Jenkins County","H1"
"470","GA",13,167,"Johnson County","H1"
"471","GA",13,169,"Jones County","H1"
"472","GA",13,171,"Lamar County","H1"
"473","GA",13,173,"Lanier County","H1"
"474","GA",13,175,"Laurens County","H1"
"475","GA",13,177,"Lee County","H1"
"476","GA",13,179,"Liberty County","H1"
"477","GA",13,181,"Lincoln County","H1"
"478","GA",13,183,"Long County","H1"
"479","GA",13,185,"Lowndes County","H1"
"480","GA",13,187,"Lumpkin County","H1"
"481","GA",13,189,"McDuffie County","H1"
"482","GA",13,191,"McIntosh County","H1"
"483","GA",13,193,"Macon County","H1"
"484","GA",13,195,"Madison County","H1"
"485","GA",13,197,"Marion County","H1"
"486","GA",13,199,"Meriwether County","H1"
"487","GA",13,201,"Miller County","H1"
"488","GA",13,205,"Mitchell County","H1"
"489","GA",13,207,"Monroe County","H1"
"490","GA",13,209,"Montgomery County","H1"
"491","GA",13,211,"Morgan County","H1"
"492","GA",13,213,"Murray County","H1"
"493","GA",13,215,"Muscogee County","H6"
"494","GA",13,217,"Newton County","H1"
"495","GA",13,219,"Oconee County","H1"
"496","GA",13,221,"Oglethorpe County","H1"
"497","GA",13,223,"Paulding County","H1"
"498","GA",13,225,"Peach County","H1"
"499","GA",13,227,"Pickens County","H1"
"500","GA",13,229,"Pierce County","H1"
"501","GA",13,231,"Pike County","H1"
"502","GA",13,233,"Polk County","H1"
"503","GA",13,235,"Pulaski County","H1"
"504","GA",13,237,"Putnam County","H1"
"505","GA",13,239,"Quitman County","H1"
"506","GA",13,241,"Rabun County","H1"
"507","GA",13,243,"Randolph County","H1"
"508","GA",13,245,"Richmond County","H6"
"509","GA",13,247,"Rockdale County","H1"
"510","GA",13,249,"Schley County","H1"
"511","GA",13,251,"Screven County","H1"
"512","GA",13,253,"Seminole County","H1"
"513","GA",13,255,"Spalding County","H1"
"514","GA",13,257,"Stephens County","H1"
"515","GA",13,259,"Stewart County","H1"
"516","GA",13,261,"Sumter County","H1"
"517","GA",13,263,"Talbot County","H1"
"518","GA",13,265,"Taliaferro County","H1"
"519","GA",13,267,"Tattnall County","H1"
"520","GA",13,269,"Taylor County","H1"
"521","GA",13,271,"Telfair County","H1"
"522","GA",13,273,"Terrell County","H1"
"523","GA",13,275,"Thomas County","H1"
"524","GA",13,277,"Tift County","H1"
"525","GA",13,279,"Toombs County","H1"
"526","GA",13,281,"Towns County","H1"
"527","GA",13,283,"Treutlen County","H1"
"528","GA",13,285,"Troup County","H1"
"529","GA",13,287,"Turner County","H1"
"530","GA",13,289,"Twiggs County","H1"
"531","GA",13,291,"Union County","H1"
"532","GA",13,293,"Upson County","H1"
"533","GA",13,295,"Walker County","H1"
"534","GA",13,297,"Walton County","H1"
"535","GA",13,299,"Ware County","H1"
"536","GA",13,301,"Warren County","H1"
"537","GA",13,303,"Washington County","H1"
"538","GA",13,305,"Wayne County","H1"
"539","GA",13,307,"Webster County","H1"
"540","GA",13,309,"Wheeler County","H1"
"541","GA",13,311,"White County","H1"
"542","GA",13,313,"Whitfield County","H1"
"543","GA",13,315,"Wilcox County","H1"
"544","GA",13,317,"Wilkes County","H1"
"545","GA",13,319,"Wilkinson County","H1"
"546","GA",13,321,"Worth County","H1"
"547","HI",15,1,"Hawaii County","H1"
"548","HI",15,3,"Honolulu County","H1"
"549","HI",15,5,"Kalawao County","H4"
"550","HI",15,7,"Kauai County","H1"
"551","HI",15,9,"Maui County","H1"
"552","ID",16,1,"Ada County","H1"
"553","ID",16,3,"Adams County","H1"
"554","ID",16,5,"Bannock County","H1"
"555","ID",16,7,"Bear Lake County","H1"
"556","ID",16,9,"Benewah County","H1"
"557","ID",16,11,"Bingham County","H1"
"558","ID",16,13,"Blaine County","H1"
"559","ID",16,15,"Boise County","H1"
"560","ID",16,17,"Bonner County","H1"
"561","ID",16,19,"Bonneville County","H1"
"562","ID",16,21,"Boundary County","H1"
"563","ID",16,23,"Butte County","H1"
"564","ID",16,25,"Camas County","H1"
"565","ID",16,27,"Canyon County","H1"
"566","ID",16,29,"Caribou County","H1"
"567","ID",16,31,"Cassia County","H1"
"568","ID",16,33,"Clark County","H1"
"569","ID",16,35,"Clearwater County","H1"
"570","ID",16,37,"Custer County","H1"
"571","ID",16,39,"Elmore County","H1"
"572","ID",16,41,"Franklin County","H1"
"573","ID",16,43,"Fremont County","H1"
"574","ID",16,45,"Gem County","H1"
"575","ID",16,47,"Gooding County","H1"
"576","ID",16,49,"Idaho County","H1"
"577","ID",16,51,"Jefferson County","H1"
"578","ID",16,53,"Jerome County","H1"
"579","ID",16,55,"Kootenai County","H1"
"580","ID",16,57,"Latah County","H1"
"581","ID",16,59,"Lemhi County","H1"
"582","ID",16,61,"Lewis County","H1"
"583","ID",16,63,"Lincoln County","H1"
"584","ID",16,65,"Madison County","H1"
"585","ID",16,67,"Minidoka County","H1"
"586","ID",16,69,"Nez Perce County","H1"
"587","ID",16,71,"Oneida County","H1"
"588","ID",16,73,"Owyhee County","H1"
"589","ID",16,75,"Payette County","H1"
"590","ID",16,77,"Power County","H1"
"591","ID",16,79,"Shoshone County","H1"
"592","ID",16,81,"Teton County","H1"
"593","ID",16,83,"Twin Falls County","H1"
"594","ID",16,85,"Valley County","H1"
"595","ID",16,87,"Washington County","H1"
"596","IL",17,1,"Adams County","H1"
"597","IL",17,3,"Alexander County","H1"
"598","IL",17,5,"Bond County","H1"
"599","IL",17,7,"Boone County","H1"
"600","IL",17,9,"Brown County","H1"
"601","IL",17,11,"Bureau County","H1"
"602","IL",17,13,"Calhoun County","H1"
"603","IL",17,15,"Carroll County","H1"
"604","IL",17,17,"Cass County","H1"
"605","IL",17,19,"Champaign County","H1"
"606","IL",17,21,"Christian County","H1"
"607","IL",17,23,"Clark County","H1"
"608","IL",17,25,"Clay County","H1"
"609","IL",17,27,"Clinton County","H1"
"610","IL",17,29,"Coles County","H1"
"611","IL",17,31,"Cook County","H1"
"612","IL",17,33,"Crawford County","H1"
"613","IL",17,35,"Cumberland County","H1"
"614","IL",17,37,"DeKalb County","H1"
"615","IL",17,39,"De Witt County","H1"
"616","IL",17,41,"Douglas County","H1"
"617","IL",17,43,"DuPage County","H1"
"618","IL",17,45,"Edgar County","H1"
"619","IL",17,47,"Edwards County","H1"
"620","IL",17,49,"Effingham County","H1"
"621","IL",17,51,"Fayette County","H1"
"622","IL",17,53,"Ford County","H1"
"623","IL",17,55,"Franklin County","H1"
"624","IL",17,57,"Fulton County","H1"
"625","IL",17,59,"Gallatin County","H1"
"626","IL",17,61,"Greene County","H1"
"627","IL",17,63,"Grundy County","H1"
"628","IL",17,65,"Hamilton County","H1"
"629","IL",17,67,"Hancock County","H1"
"630","IL",17,69,"Hardin County","H1"
"631","IL",17,71,"Henderson County","H1"
"632","IL",17,73,"Henry County","H1"
"633","IL",17,75,"Iroquois County","H1"
"634","IL",17,77,"Jackson County","H1"
"635","IL",17,79,"Jasper County","H1"
"636","IL",17,81,"Jefferson County","H1"
"637","IL",17,83,"Jersey County","H1"
"638","IL",17,85,"Jo Daviess County","H1"
"639","IL",17,87,"Johnson County","H1"
"640","IL",17,89,"Kane County","H1"
"641","IL",17,91,"Kankakee County","H1"
"642","IL",17,93,"Kendall County","H1"
"643","IL",17,95,"Knox County","H1"
"644","IL",17,97,"Lake County","H1"
"645","IL",17,99,"LaSalle County","H1"
"646","IL",17,101,"Lawrence County","H1"
"647","IL",17,103,"Lee County","H1"
"648","IL",17,105,"Livingston County","H1"
"649","IL",17,107,"Logan County","H1"
"650","IL",17,109,"McDonough County","H1"
"651","IL",17,111,"McHenry County","H1"
"652","IL",17,113,"McLean County","H1"
"653","IL",17,115,"Macon County","H1"
"654","IL",17,117,"Macoupin County","H1"
"655","IL",17,119,"Madison County","H1"
